# Pet export art
#
# 2D model preview PNGs (contact sheets):
#   assets/exports/pets/basic/{pet}_basic.png
#   assets/exports/pets/gold/{pet}_gold.png
#   python3 scripts/build_pet_contact_sheet.py
#
# 3D meshes (2026-06-14 batch):
#   Recommended Roblox import: {stem}_5k.fbx + texture PNG in same folder.
#   Pipeline: bash scripts/decimate_mesh.sh assets/source/pets/<stem>.obj --targets 5000,7500,10000 --output assets/exports/pets/<stem>/
#
# 2026-06-14 lava batch contact sheet:
#   assets/exports/pets/lava_pets_2026-06-14_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-14_lava_pets.txt
#
# 2026-06-14 desert batch contact sheet:
#   assets/exports/pets/desert_pets_2026-06-14_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-14_desert_pets.txt
#
# 2026-06-14 ice batch contact sheet:
#   assets/exports/pets/ice_pets_2026-06-14_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-14_ice_pets.txt
#
# 2026-06-15 premium pets batch (basic + gold):
#   assets/exports/pets/premium_pets_2026-06-15_basic_contact_sheet.png
#   assets/exports/pets/premium_pets_2026-06-15_gold_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-15_premium_pets.txt
#
# 2026-06-16 nature pets batch (basic + gold):
#   assets/exports/pets/nature_pets_2026-06-16_basic_contact_sheet.png
#   assets/exports/pets/nature_pets_2026-06-16_gold_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-16_nature_pets.txt
#
# 2026-06-16 sun pets batch (basic + gold):
#   assets/exports/pets/sun_pets_2026-06-16_basic_contact_sheet.png
#   assets/exports/pets/sun_pets_2026-06-16_gold_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-16_sun_pets.txt
#
# 2026-06-16 blight pets batch (basic + gold):
#   assets/exports/pets/blight_pets_2026-06-16_basic_contact_sheet.png
#   assets/exports/pets/blight_pets_2026-06-16_gold_contact_sheet.png
#   import manifest: assets/ui/imports/manifest_2026-06-16_blight_pets.txt

pet	variant	source_tris	export_dir	5k	7500tris	10k	texture
grumpy_cat	basic	7500	assets/exports/pets/grumpy_cat_basic/	5000 tris	7500 tris	7500 tris*	grumpy_cat_basic.png
cube_dog	basic	7004	assets/exports/pets/cube_dog_basic/	5000 tris	7004 tris*	7004 tris*	cube_dog_basic.png
raven	basic	12588	assets/exports/pets/raven_basic/	5000 tris	7500 tris	10000 tris	raven_basic.png
jackalope	basic	16812	assets/exports/pets/jackalope_basic/	5000 tris	7500 tris	10000 tris	jackalope_basic.png
ember_moth	basic	13124	assets/exports/pets/ember_moth_basic/	5000 tris	7500 tris	10000 tris	ember_moth_basic.png
magma_wyrm	basic	11782	assets/exports/pets/magma_wyrm_basic/	5000 tris	7500 tris	10000 tris	magma_wyrm_basic.png
molten_rhino	basic	17488	assets/exports/pets/molten_rhino_basic/	5000 tris	7500 tris	10000 tris	molten_rhino_basic.png
cinder_whelp	basic	11334	assets/exports/pets/cinder_whelp_basic/	5000 tris	7500 tris	10000 tris	cinder_whelp_basic.png
carrion_vulture	basic	12458	assets/exports/pets/carrion_vulture_basic/	5000 tris	7500 tris	10000 tris	carrion_vulture_basic.png
golden_scarab	basic	6816	assets/exports/pets/golden_scarab_basic/	5000 tris	6816 tris*	6816 tris*	golden_scarab_basic.png
sand_scorpion	basic	11128	assets/exports/pets/sand_scorpion_basic/	5000 tris	7500 tris	10000 tris	sand_scorpion_basic.png
dune_tortoise	basic	17350	assets/exports/pets/dune_tortoise_basic/	5000 tris	7500 tris	10000 tris	dune_tortoise_basic.png
sand_jackal	basic	13138	assets/exports/pets/sand_jackal_basic/	5000 tris	7500 tris	10000 tris	sand_jackal_basic.png
snowy_owl	basic	14678	assets/exports/pets/snowy_owl_basic/	5000 tris	7500 tris	10000 tris	snowy_owl_basic.png
glacial_mammoth	basic	12573	assets/exports/pets/glacial_mammoth_basic/	5000 tris	7500 tris	10000 tris	glacial_mammoth_basic.png
glacial_leviathan	basic	12100	assets/exports/pets/glacial_leviathan_basic/	5000 tris	7500 tris	10000 tris	glacial_leviathan_basic.png
aurora_seal	basic	12862	assets/exports/pets/aurora_seal_basic/	5000 tris	7500 tris	10000 tris	aurora_seal_basic.png
frost_fox	basic	12742	assets/exports/pets/frost_fox_basic/	5000 tris	7500 tris	10000 tris	frost_fox_basic.png
empyrean_dragon	basic	13398	assets/exports/pets/empyrean_dragon_basic/	5000 tris	7500 tris	10000 tris	empyrean_dragon_basic.png
empyrean_dragon	gold	13398	assets/exports/pets/empyrean_dragon_gold/	5000 tris	7500 tris	10000 tris	empyrean_dragon_gold.png
aurora_leviathan	basic	13042	assets/exports/pets/aurora_leviathan_basic/	5000 tris	7500 tris	10000 tris	aurora_leviathan_basic.png
aurora_leviathan	gold	13042	assets/exports/pets/aurora_leviathan_gold/	5000 tris	7500 tris	10000 tris	aurora_leviathan_gold.png
glacial_seraph	basic	11438	assets/exports/pets/glacial_seraph_basic/	5000 tris	7500 tris	10000 tris	glacial_seraph_basic.png
glacial_seraph	gold	11438	assets/exports/pets/glacial_seraph_gold/	5000 tris	7500 tris	10000 tris	glacial_seraph_gold.png
seraph_owl	basic	7127	assets/exports/pets/seraph_owl_basic/	5000 tris	7127 tris*	7127 tris*	seraph_owl_basic.png
seraph_owl	gold	7127	assets/exports/pets/seraph_owl_gold/	5000 tris	7127 tris*	7127 tris*	seraph_owl_gold.png
aurora_fox	basic	11272	assets/exports/pets/aurora_fox_basic/	5000 tris	7500 tris	10000 tris	aurora_fox_basic.png
aurora_fox	gold	11272	assets/exports/pets/aurora_fox_gold/	5000 tris	7500 tris	10000 tris	aurora_fox_gold.png
frostlight_hare	basic	6988	assets/exports/pets/frostlight_hare_basic/	5000 tris	6988 tris*	6988 tris*	frostlight_hare_basic.png
frostlight_hare	gold	6988	assets/exports/pets/frostlight_hare_gold/	5000 tris	6988 tris*	6988 tris*	frostlight_hare_gold.png
